block_number,block_timestamp_utc,transaction_index,transaction_hash,method,call_scope,tx_from_address,tx_to_address,transfer_log_count,classification,burn_log_count,burn_raw_value,nonburn_raw_value
8944005,2019-11-16 10:55:39 UTC,56,0xbc0d7eddf624d096170e63f114ea137b5a50d69fc9b1059747b1ddbb609751ce,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8944005,2019-11-16 10:55:39 UTC,57,0x171fb6ea05e691c49ef2fc871760fc4ac87657fc75abe71615221dd409c21e60,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8944005,2019-11-16 10:55:39 UTC,58,0x31e4ffd380a107e198a4de504aebbebff5e1d91039357dcde1c2405a490a56c1,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8944006,2019-11-16 10:55:43 UTC,94,0xa52640e242ea14a101341009bdf7983092f571fa0f8eea6e81bcbb94473be1c3,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8944007,2019-11-16 10:56:05 UTC,96,0x3702ad083b7f7481afc24519813d364f10be95baf145fb36ed41665a59359d9d,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8944007,2019-11-16 10:56:05 UTC,97,0x90f2c4cf44abfb62dcba1ea651af61ab27af05f420df900e0ca2a98e7faedfb8,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8944014,2019-11-16 10:58:15 UTC,39,0x4efd5dc5642542495f631139c06db3494a2614fb19c653d1bd9d445d9ea74773,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8944024,2019-11-16 11:01:27 UTC,84,0x371eb5cd07b1f448fe8edc5e85354f37e067d8cf2c114fc71e393300e6fd04d7,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8944024,2019-11-16 11:01:27 UTC,85,0x74d8f387c6839eeabe25f4e628d68977bd01e44af7f778dd5feefcb2c4c92ec3,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8944026,2019-11-16 11:01:39 UTC,117,0x74ef847b70c00a65486dc77245d2140016c0bdc186d949feaca3918f52f99496,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8944026,2019-11-16 11:01:39 UTC,118,0x3ce9bc5cee8c7bfec9daddbb353a53aefe6c4c8d3af669563b23eb187c56cc6e,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
