block_number,block_timestamp_utc,transaction_index,transaction_hash,method,call_scope,outer_method,traced_token_method,trace_status,trace_token_call_count,trace_address,trace_from_address,tx_from_address,tx_to_address,transfer_log_count,classification,burn_log_count,burn_raw_value,nonburn_raw_value
8949358,2019-11-17 08:05:08 UTC,34,0x3b071020b5b943a68fdf241052a5b7cd09e59028fafa6dbaaa17ca5ea41edb2a,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949358,2019-11-17 08:05:08 UTC,35,0x4ef52b928f59d08e7176a88a371190bdcc7eb8d5abe8a3962443a82934c544e5,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949358,2019-11-17 08:05:08 UTC,36,0xb8662400e4a4d03642f4f49b28a8aa11bc5dc70acdac4a4c6e64bd056fa1c0c4,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949359,2019-11-17 08:05:14 UTC,98,0xdc205b0b9b93b5441fcfe3cee1f969870a5f6487fa0492c6457271d40222f6a6,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949359,2019-11-17 08:05:14 UTC,99,0x10977bdec01f61a29e9e0794254ee804dc1f689767f982477e24d929eb5f064f,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949365,2019-11-17 08:06:47 UTC,143,0xa5e642301b037c0873b410afc171c340181d9ae44e40b5b2670a44499b550567,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949365,2019-11-17 08:06:47 UTC,144,0xb6d4b8675e646aa8313cf30a5f47448ce4d4319fba91e020e7daeec4a196cf41,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949365,2019-11-17 08:06:47 UTC,145,0x36f33500b15a6baef98ad9c607729a4b8da4c21b33b9f272e2b7aa068796f29a,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949365,2019-11-17 08:06:47 UTC,146,0x08155f84954a5b7cf3593d5740004fd0f775d2374d203e78d516e13b1897e659,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949365,2019-11-17 08:06:47 UTC,147,0x72859b9a4566eeb0665374c94fa809a80279bce1785209236e51c67c81cac2b0,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949372,2019-11-17 08:08:59 UTC,146,0x0a448d0accf801aa8d6afeeed5ab31b190945e87ad445ae44b5082c4b9049c2e,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949372,2019-11-17 08:08:59 UTC,147,0x2efa3fe75dbe2efeddc155084cd672d636012c9ea53db2e677cee87b8a93a9ef,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949374,2019-11-17 08:09:24 UTC,163,0x603d07aee26f2936ed3f96ed9508114470c96e48117482c26460cbac26d06e80,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949374,2019-11-17 08:09:24 UTC,164,0xfc0c1c3ac181d6e13aa3c6bb6b63e635fd1761928ffc789786d979070b147777,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8949376,2019-11-17 08:09:51 UTC,37,0x4b1915ff73e1e79facb0eb38795250f00ad60065be155dcc67c2dfb071ce8061,"transfer(address,uint256)",direct_contract_call,"transfer(address,uint256)",,not_requested,,,,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
