block_number,block_timestamp_utc,transaction_hash,transaction_index,method,call_scope,counter_relevant,direct_transfer_ordinal,transfer_from_ordinal,random_before,random_after,counter_action,counter_certainty_before,counter_certainty_after,expected_full_burn_from_counter,observed_full_burn_candidate,classification,burn_log_count,burn_raw_value,nonburn_raw_value
8943679,2019-11-16 09:41:36 UTC,0xf90f17c832a589c10d968152d4cbb71e2ca5db0d2c97f4f426f747996f4838da,61,"transfer(address,uint256)",direct_contract_call,True,53,,52,53,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943679,2019-11-16 09:41:36 UTC,0x097c60aae876605ed36053f28d2e207d60bb55577d096dcd66f8acae104e2295,62,"transfer(address,uint256)",direct_contract_call,True,54,,53,54,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943682,2019-11-16 09:42:20 UTC,0x40ff4b878f370f23b118e3e5a48b686c728b20dda535e55d605c3f43e260425e,87,"transfer(address,uint256)",direct_contract_call,True,55,,54,55,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943682,2019-11-16 09:42:20 UTC,0xf7d6c4d8980177894cacadab5d97263942cb1aaa91d691da93ade6230131dfc7,88,"transfer(address,uint256)",direct_contract_call,True,56,,55,56,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943685,2019-11-16 09:43:21 UTC,0xa35431b1021765e90d5d0acb3d04c0c5bd0cbd5b5bdacc861e38c428da63b917,135,"transfer(address,uint256)",direct_contract_call,True,57,,56,57,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943690,2019-11-16 09:44:19 UTC,0xdda8c4c8e3c69d6a0af05c7c1c787a0c0994e1763b16049e9924e5de9fcc0446,91,"transfer(address,uint256)",direct_contract_call,True,58,,57,58,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943690,2019-11-16 09:44:19 UTC,0x03ec09359cd2822be28a51aedc6d1d16f5f65349e1d46af4e622da820c05e2b6,92,"transfer(address,uint256)",direct_contract_call,True,59,,58,59,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943690,2019-11-16 09:44:19 UTC,0xb4e3e5761b832422698fbbb36c6a472cb3d5dcfcf8c12f463d43dc1bb642da06,93,"transfer(address,uint256)",direct_contract_call,True,60,,59,60,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943692,2019-11-16 09:44:26 UTC,0x24e42a97d762d2311dc4e416b1bb39277c8832b2b9bf1884a4825acb190c3217,42,"transfer(address,uint256)",direct_contract_call,True,61,,60,61,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943694,2019-11-16 09:44:44 UTC,0x5036a6b4cf843d4e345e2ca3eb0e47971c43867307512cde8206dc1e5f600522,100,"transfer(address,uint256)",direct_contract_call,True,62,,61,62,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
